"Month","Industrial production, Spain: monthly"
"1977-12",128
"1978-01",134
"1978-02",133
"1978-03",141
"1978-04",134
"1978-05",142
"1978-06",143
"1978-07",136
"1978-08",108
"1978-09",142
"1978-10",146
"1978-11",149
"1978-12",141
"1979-01",156
"1979-02",151
"1979-03",160
"1979-04",156
"1979-05",160
"1979-06",161
"1979-07",149
"1979-08",118
"1979-09",147
"1979-10",158
"1979-11",146
"1979-12",132
"1980-01",139
"1980-02",139
"1980-03",137
"1980-04",144
"1980-05",146
"1980-06",149
"1980-07",142
"1980-08",101
"1980-09",141
"1980-10",122
"1980-11",145
"1980-12",148
"1981-01",137
"1981-02",137
"1981-03",155
"1981-04",152
"1981-05",153
"1981-06",152
"1981-07",153
"1981-08",113
"1981-09",151
"1981-10",159
"1981-11",165
"1981-12",161
"1982-01",160
"1982-02",167
"1982-03",178
"1982-04",167
"1982-05",176
"1982-06",173
"1982-07",164
"1982-08",123
"1982-09",175
"1982-10",175
"1982-11",176
"1982-12",174

